localization,price,area,rooms,status,floor,heating_type,size,balkon,ogródek,taras
 Podgórze,867741.0,48.62,3 ,do wykończenia,1,miejskie,medium,1,0,0
 Mistrzejowice,765429.0,60.27,3 ,do wykończenia,8,miejskie,large,1,0,0
 Krowodrza,1372075.0,77.3,3 ,do wykończenia,0,miejskie,large,0,1,0
 Podgórze Duchackie,881854.0,65.81,3 ,do wykończenia,1,miejskie,large,1,0,0
 Zwierzyniec,1650000.0,71.0,3 ,do zamieszkania,1,inne,large,1,0,0
 Bieżanów-Prokocim,517000.0,32.0,2,do zamieszkania,3,miejskie,medium,1,0,0
 Czyżyny,1999000.0,126.83,5 ,do wykończenia,5,miejskie,huge,1,0,0
 Nowa Huta,799000.0,57.58,3 ,do zamieszkania,3,miejskie,medium,1,0,0
 Dębniki,1099000.0,72.81,4 ,do zamieszkania,5,inne,large,1,0,0
 Podgórze,1065000.0,71.51,3 ,do zamieszkania,1,miejskie,large,1,0,0
 Stare Miasto,1075000.0,53.0,3 ,do zamieszkania,1,miejskie,medium,1,0,0
 Podgórze Duchackie,730000.0,52.0,2 ,do zamieszkania,1,miejskie,medium,1,0,0
 Stare Miasto,770000.0,34.5,2 ,do zamieszkania,0,elektryczne,medium,1,0,0
 Bronowice,650000.0,35.5,2,do zamieszkania,0,gazowe,medium,1,0,0
 Stare Miasto,1599000.0,55.14,3 ,do zamieszkania,0,miejskie,medium,1,0,0
 Bieżanów-Prokocim,639000.0,44.0,2 ,do zamieszkania,0,miejskie,medium,1,0,0
 Bieńczyce,449000.0,28.0,1,do zamieszkania,3,miejskie,small,1,0,0
 Mistrzejowice,608796.0,37.58,2 ,do wykończenia,1,miejskie,medium,1,0,0
 Mistrzejowice,694260.0,49.59,3 ,do wykończenia,1,miejskie,medium,1,0,0
 Prądnik Biały,1168000.0,89.78,4 ,do wykończenia,0,miejskie,large,0,1,0
 Bronowice,603048.6,29.26,1,do wykończenia,2,inne,small,1,0,0
 Prądnik Biały,1120000.0,77.51,3 ,do zamieszkania,2,miejskie,large,1,0,0
 Prądnik Biały,747682.0,50.18,3 ,do wykończenia,1,miejskie,medium,1,0,0
 Nowa Huta,490000.0,33.82,2 ,do zamieszkania,0,miejskie,medium,1,0,0
 Stare Miasto,499000.0,21.36,1,do zamieszkania,-1,miejskie,small,1,0,0
 Bieńczyce,599000.0,37.14,2 ,do zamieszkania,4,miejskie,medium,1,0,0
 Czyżyny,1299500.0,69.0,4 ,do zamieszkania,5,miejskie,large,1,0,0
 Czyżyny,1761079.0,119.46,4 ,do wykończenia,4,miejskie,huge,1,0,0
 Podgórze,800000.0,56.67,5 ,do zamieszkania,1,miejskie,medium,1,0,0
 Swoszowice,970000.0,92.0,3 ,do zamieszkania,3,gazowe,huge,1,0,0
 Nowa Huta,836325.0,47.25,2 ,do zamieszkania,1,miejskie,medium,1,0,0
 Podgórze,1060000.0,67.55,4 ,do zamieszkania,2,miejskie,large,1,0,0
 Prądnik Biały,495000.0,31.75,2,do zamieszkania,7,miejskie,medium,1,0,0
 Nowa Huta,640000.0,44.95,2 ,do zamieszkania,0,miejskie,medium,1,0,0
 Mistrzejowice,738000.0,47.0,2 ,do zamieszkania,5,miejskie,medium,1,0,0
 Dąbie,495000.0,26.0,1,do zamieszkania,0,miejskie,small,0,0,0
 Prądnik Biały,1006999.0,59.41,3 ,do zamieszkania,6,miejskie,medium,1,0,0
 Bieżanów-Prokocim,845559.0,59.13,3 ,do wykończenia,1,miejskie,medium,1,0,0
 Bieżanów-Prokocim,749000.0,61.88,3 ,do remontu,0,miejskie,large,1,0,0
 Krowodrza,770018.0,48.89,3 ,do wykończenia,1,miejskie,medium,1,0,0
 Dębniki,504000.0,34.0,2 ,do wykończenia,0,miejskie,medium,0,1,0
 Podgórze Duchackie,1399000.0,99.39,4 ,do wykończenia,0,miejskie,huge,0,1,0
 Prądnik Czerwony,1019000.0,60.0,3 ,do zamieszkania,0,miejskie,medium,0,1,0
 Stare Miasto,1500000.0,54.0,2 ,do zamieszkania,1,miejskie,medium,1,0,0
 Nowa Huta,569000.0,35.88,2 ,do zamieszkania,3,miejskie,medium,1,0,0
 Prądnik Biały,1040376.0,77.64,4 ,do wykończenia,2,miejskie,large,1,0,0
